Headline,Body ID,Stance
"We don't need to hear from candidate's spouse",90628,agree
"Comment sections have failed",91932,unrelated
"Casinos are not too much of a gamble",92724,unrelated
"New York's bike lanes are not working",93804,unrelated
"Drone attacks make more harm",91445,unrelated
"Wal-Mart can make us healthier",93869,unrelated
"Guns should be permitted on college campuses",93659,agree
"Companies should be allowed to patent genes",90737,agree
"It should be illegal to declaw your cat",93962,unrelated
"Unpaid intenship exploit college students",93945,unrelated
"Not to tip",92343,unrelated
"Obamacare is not working",92515,unrelated
"Schoold day should be longer",94283,unrelated
"Former colonial powers should not pay reparations",90258,unrelated
"No, it can't denounce",92147,unrelated
"Greece's anti-austerity government can succeed",92980,unrelated
"Dual citizenship should be allowed",92074,agree
"Amazon will kill off publishers",94152,unrelated
"College should be free",92546,unrelated
"Home schoolers deserve a tax break",92324,unrelated
"Do not legitimize Frisbee",90984,unrelated
"Parents' religious beliefs should allow them to refuse medical care for their children",92316,unrelated
"Speech can be limited for public workers",91451,unrelated
"Nations should not recognize a Palestinian state",93576,unrelated
"Doping should be allowed",91652,disagree
"Colorado didn't go too far with pot",92106,unrelated
"Government should not regulate airline industry again",93452,unrelated
"Non-Muslims help women by wearing hijabs",90060,unrelated
"It is fair to rate professors online",90809,unrelated
"School librarians are expendable",92486,unrelated
"Modern men are manly enough",91029,discuss
"Wealthy colleges deserve tax breaks",93331,unrelated
"Modern men are manly enough",91003,agree
"Ruining",91551,unrelated
"Salt should have a place at the table",94261,unrelated
"No, it can't denounce",92844,unrelated
"Research papers are a useful excercise for college students",91684,unrelated
"Wealthy colleges deserve tax breaks",90038,unrelated
"Guns should be permitted on college campuses",91336,unrelated
"Immigration is not really a problem",92786,unrelated
"Non-Muslims help women by wearing hijabs",92174,discuss
"Christians have created a harmful atmosphere for gays",91870,unrelated
"Colorado didn't go too far with pot",90949,unrelated
"We don't need libraries",91280,disagree
"Olympics are more trouble",92250,unrelated
"Obamacare is not working",92770,unrelated
"Government should not regulate airline industry again",93305,unrelated
"Not to tip",92642,unrelated
"Same-sex colleges are outdated",92176,unrelated
"People are getting dumber",92904,unrelated
