Body ID,articleBody
90000,"I'm curious when Democrats pull the lever for Dem candidates is this the type of thing they have in mind as they vote? It appears to me the Dems are willing to stoop to any manner of lawlessness to accommodate people who have flaunted are immigration laws. I can't imagine many people beyond those that stand to benefit from this being supportive."
90001,"This is the worst article this newspaper has ever run on this issue. The author sets up a ridiculous series of strawmen that do not exist. He fails to distinguish between legal and illegal immigration. He implies that someone should have the right to break our laws just because they have given birth here. He talks about the rights he wants to hand such people but he never really talks about the kinds of responsibilities most Americans want from any potential immigrants -- fluent English, no access to any kind of tax payer provided assistance, full observance of all our laws including labor laws. As the sign leading to Brooklyn states, FUGETABOUTIT! No form of citizenship for people who break our laws. If this bothers them, they are more than welcome to do what we want and leave."
90002,"'No spic Inglés, señor.' -Escúchame: No temas, siervo prudente mío. Bien has dicho; y hablemos la lengua de tus padres.  Ah!  Querido José!  Qué es la vida? 'Toda la vida es sueño, / y los sueños, sueños son'.  No será así? Ven, por tanto, y consultemos juntos. Yo te enseñaré lo que has de hacer. Mira mi... gas-pipe safety shutoff valve-o.  No sabes qué es esto? Never mind. I'll do it myself. Just wait here, José. Here. Here.  Ay del día!"
90003,"Not a good idea because it would set a precedent to let the anti immigrant states write their own restrictive laws. that said at minimum New York should issue temporary special instate drivers licenses to non citizens so they legally drive and have the ability to purchase insurance."
90004,"I find it laughable that all the liberals arguing that this is a good idea lambaste Republicans any time they bring up the 9th and 10th Amendments and argue for a return to Federalism. I guess liberals are finally seeing the logic of States' rights."
90005,"Let illegal immigrants start participating in the political and legal process by obtaining a TIN and paying taxes on their earnings, just like the rest of working Americans. That would be a tremendous reflection of the fact that they understand they must also contribute to the welfare of everyone in society."
90006,"Markowitz like most other liberals is in fact the ultimate hypocrite. When the Red states passed their anti-illegal laws liberals response was that they usurped the Federal Government's role as the sole authority where immigration was concerned. How does this proposal not do exactly the same thing albeit in the opposite direction?"
90007,"So someone who is in this country illegally, ignores and disrespects our sovereignty and laws, does not have to show any knowledge or allegiance to our nation is going to vote for government officials? Worse, they are going to decide the fate of persons in criminal cases, a jury supposedly of our peers but instead decided on what, their culture or knowledge from a foreign land, often places that do not have our constitutional protections? Are these abdicates insane?"
90008,"I was fishing the other day and an illegal immigrant was caught without documentation and a fishing license and with fish under the legal size for keeping. Because he was undocumented he was let go. I would have been fined for no license and $250 a fish. Last year an undocumented laborer who worked for a good friend of mine was arrested for drunk driving, no license and was let go and picked up by his boss in a parking lot away from the Police station and without charge. These are not made up stories. In my opinion anyone who comes here and works hard deserves a chance but the way things are set up it is almost like having two countries under one flag. I realize the flood gates have been open too long and the system has broken down but we all have to play by the same set of rules otherwise there is chaos with simmering anger and resentment constantly being fed. A temporary fix might be temporary amnesty- register, get a license, pay taxes and play by the same rules with renewable options and eventually citizenship."
90009,"This concept of allowing of states to grant citizenship is a really bad idea. While the idea of states granting citizenship has historical roots and may make North East and West Coast Blues States feel good the precedent has serious drawbacks. Does anyone for a minute believe that some of the more retrograde red states would not seize on the opportunity to make state citizenship far more restrictive in their bailiwicks. I can picture some of these states going back to the original definition 'White Male Property Owners over 21 years of age' and probably add membership in a fundamentalist Protestant church as an enhancement. In short This is a really bad idea."
90010,"Lets do away with the 14th Amendment - Birth Right Amendment. This single Amendment acts as a magnet, bringing undocumented, perspective, illegal immigrant parents to our country. The USA is quickly losing our sovereignty because of immigration reform nut jobs like Mr. Peter Spiro. Lets overturn the 14th Amendment and try to slow the flow of these law breakers into the USA."
90011,"Hmmm... the States-Righters ought to love this, huh? It certainly has precedents and does not seem prima facie unconstitutional. After all, would not a lot of Texans, Alaskans, and others enjoy giving total fealty to their state and avoiding any responsibility to a larger polity? No? When enough people realize that immigration is driven by forces much stronger and more pervasive than domestic policy, that it cannot be eliminated by laws, fences, patrols, or any other local action, and that it will continue to be the boon for us that it has always been, perhaps then a rational discussion will ensue."
90012,"There was no distinction between legal immigration and illegal immigration until the late 19th century, and the restrictions were rather loose until after WWI when a quota system was established. You may be right that States didn't generally offer citizenship to illegal immigrants in the past, but only because hardly anyone was considered illegal back then."
90013,"The money England spent in building up Jamaica and establishing a good legal system there, along with roads, schools and military which provided the protection everyone's rights, since they ended of slavery has to be taken into account. Not to mention England being a champion in stopping slavery everywhere starting with The Slave Trade Act, which outlawed the slave trade in all the British dominions."
90014,"Determining entitlement to reparations would open major wounds in US society. The issue of the extent of racial mixing would have to be addressed -- a topic that the US (particularly the South, where it was rampant) finds extremely painful. Aside from permitting reparations for people who are obviously white, it would open a socially-divisive new polemic on determining who is white and who is black, based on genetics. As a society that is pretty much committed to allowing natural processes to make us, as individuals, as rainbow as we wish to be, reparations would be a terrible step backwards into social identifications based on race."
90015,"As a student of history I have learned that it is not wise to apply the understandings, mores and concerns of one's own time and place to past generations. George Washington owned slaves and no one in his day thought him any the worse for it. Indeed, I dare say he would be hard pressed to understand, let alone consider, the arguments of anyone in today's world favoring reparations for what was a legal and acceptable practice in his day and age. People of every time and place should be seen in the terms of their own time and place - not ours. If history teaches us anythiing it might for us to examine the failures of the past and at least attempt not to repeat them in our present."
90016,"If an individual or a group is managing their affairs poorly, chances are, it has nothing to do with the way their forebears were treated 150 years ago and beyond. I would suggest that they look in the mirror and recite a little Shakespeare: 'to thine own self be true'."
90017,"In 1860, the US Census reports that less than 2% of the census populations owned even one slave. Even in the Deep South, less than 4% of the population owned a slave. And, history shows that amongst the Southern slave owners were Blacks and African Americans. When one considers that most of the wealth generated by the industrial revolution occurred in the slave free North, it's hard to agree with the author's statement that '...much of the wealth enjoyed by' the US was gained through the slave trade. Overall, out of the 12-15 million Africans transported to the Americas, less than 4% ended up in British North America or the subsequent US. It would make as much sense for African Americans to seek reparations from the West African kingdoms that captured the slaves and sold them to European slavers."
90018,"The chief argument against slave reparations in the United States is that the descendants of Africans transported as slave to the present-day United States are much better off than the descendants of Africans whose ancestors were not enslaved and transported to the United States. Today, the average per-capital income in Sub-Sahara Africa is about $750 a year and the average life expectancy is about 50 years. Africans Americans are by far the world's most affluent large black population."
90019,"I have never been able to understand that while everybody is supposed to continuously feel guilty about holocaust, slavery and atrocities in colonies that happened even after holocaust are supposed to be forgotten. This is not to diminish sufferings of jews. But while everybody is still supposed to 'return' 'stolen' jewish property, nazi criminals are still being hunted and prosecuted, sufferings of rest of the humanity is supposed to be forgiven, the looted properties from colonies is not to be send back. While Germans are reminded continuously about what happened long ago and supposed to be perpetually apologetic, even South Africans were prompted to go for reconciliation with the former apartheid regime. Is it all determined by skin color, power and who wins the war, rather than any sense of morality?"
90020,"All wealth comes from exploitation of people or resources, usually both. Exploitation of people can be anything from mild to horrendous; plantation slaves and the workers in the mines and factories of the early industrial era were among those exploited the worst. The peculiar evil of slavery was not exploitation. The peculiar evil of slavery was that it insulted human beings by treating them as property; and of Negro slavery (for that is what we are talking about) was that it stigmatized a whole people with that insult; even the free Negro and the well-treated house slave were defined as of a servile race. To make economic exploitation the the gravamen of the case against slavery is to take sides with its defenders, like John C. Calhoun, who argued that even the worse slave owner, because he had a monetary investment in his human property, was bound to treat it better than the mill or mine owner of the time was apt to treat his hired operatives, who when they got sick could just be fired and replaced with someone else."
90021,"The question is whether colonial powers should pay reparation to their former colonies. If so, Britain, France and Spain would owe reparations to the United States. The United States would owe no reparations since it was not a colonial power."
90022,"Instead of reparations maybe the more wealthy and more developed countries could use provisions in their mutually beneficial trade pacts to help the sluggish economies of the Island Nations that were devastated by the slave trade and then abandoned. Documentation and periodic reviews might help identify the best of those policies and make adjustments for the good of all involved."
