Headline,Body ID,Stance
"High school should last six years",91981,unrelated
"Farm subsidies do not protect national security",90873,unrelated
"California doesn't need high-speed rail",91735,unrelated
"Medical websites are dangerous",92289,disagree
"Extreme parenting is counterproductive",91435,unrelated
"Medical websites are dangerous",93970,unrelated
"Non-Muslims help women by wearing hijabs",90137,unrelated
"Nations should not recognize a Palestinian state",94280,unrelated
"Dual citizenship should be allowed",90785,unrelated
"Strictly enforcing minor violations deter more serious crime",93683,unrelated
"Do not drop sports program in undergraduate schools",90488,unrelated
"The new apps is a way for people to get into popular restaurants",90500,unrelated
"Keep selling arms to Taiwan",93941,unrelated
"Companies can be trusted",90473,unrelated
"Fraternities and sororities should be co-ed",92129,unrelated
"Non-Muslims help women by wearing hijabs",92166,discuss
"Women should delay motherhood",90386,unrelated
"Colleges do not need humanities programs",90354,unrelated
"TFA has not raised the status of teachers",93327,unrelated
"Former colonial powers should not pay reparations",92157,unrelated
"Obamacare is not sustainable",93500,unrelated
"Parents should control what kids learn at school",90957,disagree
"Government should not regulate airline industry again",90161,unrelated
"Police is reacting to dangers",92720,unrelated
"Wal-Mart can make us healthier",90296,unrelated
"Christians have created a harmful atmosphere for gays",93105,agree
"Voting should be mandatory",92004,unrelated
"Non-Muslims help women by wearing hijabs",92199,discuss
"Non-Muslims help women by wearing hijabs",92165,discuss
"Drug addicts should be forced into treatment",90377,unrelated
"Supreme court is not too powerful",91778,unrelated
"Farm subsidies do not protect national security",91261,unrelated
"Wal-Mart can make us healthier",93354,unrelated
"Foreign language classes should be mandatory in college",93478,discuss
"Prozac just opened the flood gates to marketing",93744,unrelated
"Police is reacting to dangers",92950,unrelated
"US should attack Syria",93397,disagree
"New York's bike lanes are not working",94199,unrelated
"Internet addiction is a concern for teenagers",91412,unrelated
"Nations should not recognize a Palestinian state",91697,discuss
"It should be illegal to declaw your cat",90697,discuss
"It is fair to rate professors online",92436,unrelated
"It is harder to be a celebrity now",94076,unrelated
"Comment sections have failed",90850,unrelated
"Happy hour should be banned",91665,unrelated
"Christians have created a harmful atmosphere for gays",90694,unrelated
"No, it can't denounce",92490,unrelated
"Home schoolers deserve a tax break",91480,unrelated
"Kurds are allies in SyriaAllies",92755,agree
"Colleges do not need humanities programs",92209,unrelated
"Companies can be trusted",92216,unrelated
"Doping should be allowed",91660,disagree
"Organic food is not worth the expense",93310,unrelated
"School librarians are expendable",90385,unrelated
"Do not restrict use of the word 'natural' on food labels",90468,unrelated
"We should disband NATO",91914,unrelated
"Supporting Israel helps",90792,unrelated
"Royal Couple could be a modern family",92730,unrelated
"Medicare doesn't need to be reformed",91138,unrelated
"Comment sections have failed",91751,unrelated
"Parents' religious beliefs should allow them to refuse medical care for their children",91949,unrelated
"Strictly enforcing minor violations deter more serious crime",91096,unrelated
"Abolish Birthright Citizenship",93134,unrelated
"Veganism is good for everyone",91378,unrelated
"Supporting Israel helps",90015,unrelated
"Comment sections have failed",94182,unrelated
"California doesn't need high-speed rail",92366,unrelated
"Non-Muslims help women by wearing hijabs",90436,unrelated
"Farms could survive without illegal labor",93814,unrelated
"Overcrowding is a legitimate threat",90293,unrelated
"Comment sections have failed",90913,unrelated
"Electric cars will not succeed",91888,unrelated
"Young people are being irresponsible by delaying the rituals of adult life",93503,unrelated
"Parents should help their children with homework",92595,unrelated
"Not to tip",90879,unrelated
"Felons should be allowed to vote",93681,unrelated
"No, it can't denounce",92603,disagree
"Miss America is bad for women",91634,agree
"Wal-Mart can make us healthier",91591,discuss
"Salt should have a place at the table",93122,unrelated
"Christians have created a harmful atmosphere for gays",91919,unrelated
"Home-schoolers should not play for high school teams",93918,unrelated
"Supporting Israel helps",91310,unrelated
"Drug addicts should be forced into treatment",90103,unrelated
"Home-schoolers should not play for high school teams",90805,agree
"Parents should help their children with homework",93980,unrelated
"Doping should be allowed",91044,unrelated
"Police is reacting to dangers",90402,unrelated
"Immigration is not really a problem",92633,unrelated
"Do not stop taxing capital gains",91294,unrelated
"Salt should have a place at the table",92351,unrelated
"Speech can be limited for public workers",91906,unrelated
"Parents should control what kids learn at school",91253,unrelated
"Abolish Birthright Citizenship",93382,unrelated
"Vaccination should be mandatory for all children",90367,unrelated
"Voting should be mandatory",93974,unrelated
"Parents should control what kids learn at school",90682,unrelated
"Not to tip",91761,unrelated
"College students' votes do matter in an election",94119,unrelated
"Activists can be politicians",91329,unrelated
"Doping should be allowed",94133,unrelated
"Helping condo developers help the city",92136,unrelated
"People are getting dumber",91753,unrelated
"Nuclear power is not the answer to climate change",92912,agree
"Wealthy colleges deserve tax breaks",93430,unrelated
"Medicare doesn't need to be reformed",91544,agree
