Headline,Body ID
"High school should last six years",91981
"Farm subsidies do not protect national security",90873
"California doesn't need high-speed rail",91735
"Medical websites are dangerous",92289
"Extreme parenting is counterproductive",91435
"Medical websites are dangerous",93970
"Non-Muslims help women by wearing hijabs",90137
"Nations should not recognize a Palestinian state",94280
"Dual citizenship should be allowed",90785
"Strictly enforcing minor violations deter more serious crime",93683
"Do not drop sports program in undergraduate schools",90488
"The new apps is a way for people to get into popular restaurants",90500
"Keep selling arms to Taiwan",93941
"Companies can be trusted",90473
"Fraternities and sororities should be co-ed",92129
"Non-Muslims help women by wearing hijabs",92166
"Women should delay motherhood",90386
"Colleges do not need humanities programs",90354
"TFA has not raised the status of teachers",93327
"Former colonial powers should not pay reparations",92157
"Obamacare is not sustainable",93500
"Parents should control what kids learn at school",90957
"Government should not regulate airline industry again",90161
"Police is reacting to dangers",92720
"Wal-Mart can make us healthier",90296
"Christians have created a harmful atmosphere for gays",93105
"Voting should be mandatory",92004
"Non-Muslims help women by wearing hijabs",92199
"Non-Muslims help women by wearing hijabs",92165
"Drug addicts should be forced into treatment",90377
"Supreme court is not too powerful",91778
"Farm subsidies do not protect national security",91261
"Wal-Mart can make us healthier",93354
"Foreign language classes should be mandatory in college",93478
"Prozac just opened the flood gates to marketing",93744
"Police is reacting to dangers",92950
"US should attack Syria",93397
"New York's bike lanes are not working",94199
"Internet addiction is a concern for teenagers",91412
"Nations should not recognize a Palestinian state",91697
"It should be illegal to declaw your cat",90697
"It is fair to rate professors online",92436
"It is harder to be a celebrity now",94076
"Comment sections have failed",90850
"Happy hour should be banned",91665
"Christians have created a harmful atmosphere for gays",90694
"No, it can't denounce",92490
"Home schoolers deserve a tax break",91480
"Kurds are allies in SyriaAllies",92755
"Colleges do not need humanities programs",92209
"Companies can be trusted",92216
"Doping should be allowed",91660
"Organic food is not worth the expense",93310
"School librarians are expendable",90385
"Do not restrict use of the word 'natural' on food labels",90468
"We should disband NATO",91914
"Supporting Israel helps",90792
"Royal Couple could be a modern family",92730
"Medicare doesn't need to be reformed",91138
"Comment sections have failed",91751
"Parents' religious beliefs should allow them to refuse medical care for their children",91949
"Strictly enforcing minor violations deter more serious crime",91096
"Abolish Birthright Citizenship",93134
"Veganism is good for everyone",91378
"Supporting Israel helps",90015
"Comment sections have failed",94182
"California doesn't need high-speed rail",92366
"Non-Muslims help women by wearing hijabs",90436
"Farms could survive without illegal labor",93814
"Overcrowding is a legitimate threat",90293
"Comment sections have failed",90913
"Electric cars will not succeed",91888
"Young people are being irresponsible by delaying the rituals of adult life",93503
"Parents should help their children with homework",92595
"Not to tip",90879
"Felons should be allowed to vote",93681
"No, it can't denounce",92603
"Miss America is bad for women",91634
"Wal-Mart can make us healthier",91591
"Salt should have a place at the table",93122
"Christians have created a harmful atmosphere for gays",91919
"Home-schoolers should not play for high school teams",93918
"Supporting Israel helps",91310
"Drug addicts should be forced into treatment",90103
"Home-schoolers should not play for high school teams",90805
"Parents should help their children with homework",93980
"Doping should be allowed",91044
"Police is reacting to dangers",90402
"Immigration is not really a problem",92633
"Do not stop taxing capital gains",91294
"Salt should have a place at the table",92351
"Speech can be limited for public workers",91906
"Parents should control what kids learn at school",91253
"Abolish Birthright Citizenship",93382
"Vaccination should be mandatory for all children",90367
"Voting should be mandatory",93974
"Parents should control what kids learn at school",90682
"Not to tip",91761
"College students' votes do matter in an election",94119
"Activists can be politicians",91329
"Doping should be allowed",94133
"Helping condo developers help the city",92136
"People are getting dumber",91753
"Nuclear power is not the answer to climate change",92912
"Wealthy colleges deserve tax breaks",93430
"Medicare doesn't need to be reformed",91544
"TFA has not raised the status of teachers",90228
"TFA has not raised the status of teachers",90344
"Former colonial powers should not pay reparations",94188
"New York's bike lanes are not working",92807
"Supporting Israel helps",91736
"It should be illegal to declaw your cat",90679
"Charter schools are cherry-picking students",91048
"Turkey belongs to NATO",91458
"Teachers do not need to have experience",92109
"Extreme parenting is counterproductive",92439
"Turkey belongs to NATO",94321
"Home schoolers deserve a tax break",90285
"Guns should be permitted on college campuses",92606
"Social media encourage romance",92434
"Young people are being irresponsible by delaying the rituals of adult life",90443
"Unpaid intenship exploit college students",90365
"Unpaid intenship exploit college students",90374
"State citizenship is not the answer to immigration reform",92795
"Government should grade colleges",90340
"Salt should have a place at the table",91839
"College should be free",93958
"State citizenship is not the answer to immigration reform",91476
"Miss America is bad for women",91641
"Comment sections have failed",93030
"California doesn't need high-speed rail",91962
"All immigrants should get ID cards",93061
"Machines are gaining the upper hand on humans",91324
"Farms could survive without illegal labor",91249
"Parents' religious beliefs should allow them to refuse medical care for their children",92721
"Colleges do not need humanities programs",91120
"The U.S. Embassy should be moved from Tel Aviv to Jerusalem",92293
"Voting should be a constitutional right",93595
"We don't need libraries",93144
"Obamacare is not working",91136
"Prostituion is safer when it's legal",93246
"Supreme court is not too powerful",90012
"No, it can't denounce",90254
"Farm subsidies do not protect national security",93919
"Drone attacks make more harm",91514
"Parents should control what kids learn at school",90972
"Comment sections have failed",92409
"Dual citizenship should be allowed",92085
"Not to tip",93654
"Medicare doesn't need to be reformed",90070
"No, it can't denounce",94368
"Border is not secure enough",92677
"We don't need libraries",93269
"Modern men are manly enough",91031
"Farms could survive without illegal labor",92910
"Home schoolers deserve a tax break",90039
"No, it can't denounce",92661
"Medical websites are dangerous",92274
"We don't need libraries",91468
"No, it can't denounce",92638
