Headline,Body ID,Stance
ISIS Releases Video Allegedly Showing Beheading of U.S. Journalist Steven Sotloff,1,unrelated
"Apple Watch to go on sale in March, claims analyst",2,unrelated
Justin Bieber Ringtone Startles Bear,3,unrelated
"The story of the Argentinean president, werewolves and seventh sons",4,unrelated
Hewlett-Packard Plans to Break in Two,5,unrelated
Fox News Floats BS Story About Fleeing Marines Giving Rebels Their Guns,6,unrelated
'I had a third breast implant so I can turn off men',7,unrelated
Woman With Three Breasts Is Reportedly A Fake: Jasmine Tridevil’s Real Identity Revealed,8,unrelated
"'Even though you're gay, I will always treat you the same way as I do now': Moving letter from nine-year-old to her school teacher after he came out to his class",9,unrelated
Woman With Three Breasts Is Reportedly A Fake: Jasmine Tridevil’s Real Identity Revealed,10,unrelated
CNN: Doctor Took Mid-Surgery Selfie with Unconscious Joan Rivers,11,agree
"Yes, we’re being bought by Microsoft",12,unrelated
Evil Aunt Hacks Off Toddlers Penis,13,unrelated
"50ft crustacean, dubbed Crabzilla, photographed lurking beneath the waters in Whitstable",14,unrelated
Saudi Arabia's national airline planning to introduce gender segregation on flights,15,unrelated
Saudi Airlines to ban gender-mixing seating,16,unrelated
Argentina’s president adopts Jewish boy to save him from life as a werewolf,17,agree
Ferguson and Hong Kong Have One Important Thing in Common,18,discuss
Joan Rivers' Doctor Took a Selfie While She Was Under Anesthesia (Report),19,unrelated
Teenager wakes up while undergoing BRAIN SURGERY in Poland... and asks the surgeons how the operation is going,20,discuss
"Apple Reportedly Close to Acquiring 'Path', Looking to Integrate Service Into Messages",21,unrelated
Adopting Potential Werewolves Is Routine Business for Argentine Presidents,22,unrelated
"Source: Joan Rivers' doc did biopsy, selfie",23,discuss
Saudi Arabia set to introduce gender segregation on national airline flights,24,unrelated
"ISIS Leader Injured in Air Strike, Iraqi Officials Say",25,unrelated
Yemen’s Houthi rebels seize U.S. Marines’ weapons at airport,26,unrelated
"Teen wakes up during brain surgery, asks how it’s going",27,unrelated
"Apple Reportedly Close to Acquiring 'Path', Looking to Integrate Service Into Messages",28,unrelated
"Apple Watch to go on sale in March, claims analyst",29,unrelated
Adopting Potential Werewolves Is Routine Business for Argentine Presidents,30,unrelated
British Jihadi Killed In US Airstrike - Reports,31,unrelated
Tampa woman claims to add 3rd breast,32,unrelated
This Campaign Shows A Pretty Genius Way To Stop Men Catcalling In The Street,33,unrelated
Saudi Women May Have to Cover Up Sexy Eyes,34,unrelated
'They got in our way': James Foley's brother backs mother attacking Obama administration over failure to save photojournalist before he was beheaded by ISIS,35,discuss
Joan Rivers’ Doctor Snapped Selfie During Throat Procedure (Report),36,discuss
Iraqi Army Downs 2 UK Planes Carrying Weapons for ISIL,37,unrelated
Video reportedly shows beheading of reporter Steven Sotloff by ISIS,38,discuss
"Woman pays $20,000 for third breast to make herself LESS attractive to men",39,agree
Indian bride marries wedding guest after husband has epileptic seizure during ceremony,40,unrelated
"No, the world's oldest tree has not been accidentally cut down by loggers in the Amazon",41,unrelated
Hewlett-Packard to split into two companies,42,unrelated
"ISIS Leader Injured in Air Strike, Iraqi Officials Say",43,unrelated
REPORT: Tesla Chooses Nevada For Site Of Its Massive Battery Factory,44,unrelated
REPORT: 'JIHADI JOHN' WHO BEHEADED JAMES FOLEY WOUNDED IN US AIRSTRIKE,45,unrelated
Brighton jihadi Khalil al-Britani killed in Syria drone strike,46,unrelated
When Street Harassers Realize The Women They're Catcalling Are Their Moms In Disguise,47,agree
"IBM Corp expected to cut more than 110,000 jobs in massive overhaul, report says",48,unrelated
Source: Missing Afghan soldiers at Canadian border,49,unrelated
Justin Bieber ringtone saves Russian man from bear attack,50,unrelated
Woman has surgery to get third breast: The three most statistically unlikely pairs of boobs,51,unrelated
ISIS claims to behead US reporter Steven Sotloff in new video,52,unrelated
ISIS video shows beheading of American journalist Steven Sotloff,53,unrelated
"Reports: NHL expansion could include Las Vegas, others",54,unrelated
Pregnant woman loses eye after police shoot bean bag at her,55,unrelated
"50ft crustacean, dubbed Crabzilla, photographed lurking beneath the waters in Whitstable",56,unrelated
A Russian Guy Says His Justin Bieber Ringtone Saved Him From A Bear Attack,57,discuss
Woman Reportedly Cuts Off Husband's Penis Twice in One Night,58,unrelated
"No, Argentina's president did not adopt a Jewish child to stop him turning into a werewolf",59,agree
U.S. confirms authenticity of second journalist beheading video,60,unrelated
Was Charles Manson's 'Fiancée' Playing Him to Get Custody of His Corpse?,61,discuss
Iga Jasica Says Awakening During Brain Surgery Was No Mistake,62,unrelated
Fresh agony for James Foley's family as sick ISIS militants 'try to sell them his headless body for $1million',63,unrelated
Mariam Al Mansouri: Female Fighter Pilot Disowned By Family For Bombing ISIS Terrorists In Syria,64,discuss
Loggers have NOT accidentally cut down world’s oldest tree,65,unrelated
"Passenger headed to Dallas rages over ‘Merry Christmas,’ removed from plane",66,unrelated
Government threatened Foleys with criminal charges over ransom,67,unrelated
Woman Who Claimed To Have Surgery To Add Third Breast Exposed As Hoaxer,68,discuss
Joan Rivers’ doctor snapped a selfie before biopsy surgery,69,discuss
Saudi Airlines to ban gender-mixing seating,70,discuss
Hearing Unconfirmed Reports of Saudi Pipeline Explosion,71,discuss
White House Threatened James Foley's Family with Prosecution,72,unrelated
Three Boobs Are Most Likely Two Boobs and a Lie,73,unrelated
Woman Who Claimed To Have Surgery To Add Third Breast Exposed As Hoaxer,74,discuss
Argentina’s President Adopted A Jewish Godson To Stop Him From Turning Into A Werewolf,75,unrelated
Video purports to show beheading of US journalist,76,discuss
Florida woman claims to have surgically added third breast,77,unrelated
Florida Woman Has Surgery To Add Third Breast To Her Chest,78,unrelated
"​ISIS might be harvesting organs, Iraqi diplomat says",79,unrelated
Woman with three breasts: Real or hoax?,80,agree
Joan Rivers' doctor snapped selfie during throat surgery: report,81,unrelated
Apple Watches to be kept in safes,82,discuss
Bear attack foiled by Justin Bieber’s music: A story too good to check,83,unrelated
Lisa Bonet Did NOT Send “Cryptic Tweet” About Bill Cosby — Twitter Account Fake!,84,agree
Apple was forced to nix key health features from its smartwatch -- report,85,unrelated
Would US sue parents of James Foley? Why White House is Defending Itself,86,unrelated
ISIS online video shows beheading of U.S. journalist Steven Sotloff,87,unrelated
Justin Bieber's 'Baby' Saves Man From Violent Bear Attack,88,unrelated
Justin Bieber Saved A Guy Getting Mauled By A Bear,89,unrelated
"Report: HP to split into two companies, one focused on PCs/printers and one on enterprise computing",90,unrelated
"Brain Surgery Recovery: Teenage Girl Wakes Up During Procedure, Talks About Cats",91,unrelated
"IBM To Cut More Than 110,000 Jobs, Report Says",92,unrelated
Saudi Airlines to ban gender-mixing seating,93,unrelated
UK looking into reports IS beheading suspect wounded,94,unrelated
Woman with three breasts: Real or hoax?,95,unrelated
Brain op shock as teen wakes up mid-surgery,96,unrelated
A Pregnant Woman Has Lost Her Eye After Being Shot W/ Bean Bag In Ferguson,97,discuss
WSJ: Apple cut watch health features due to erratic sensors,98,unrelated
"Saudi Arabia Airline Segregation: New Islamic Law Takes Flight On Airliner, Seating By Gender Coming Soon",99,unrelated
"After Beheading of Steven Sotloff, Obama Pledges to Punish ISIS",100,unrelated
Children Used To Replace Fighting Dogs,101,agree
Three Boobs Are Most Likely Two Boobs and a Lie,102,unrelated
Giant Crab,103,unrelated
President of Argentina adopts godson to stop him from turning into a werewolf,104,unrelated
'They got in our way': James Foley's brother backs mother attacking Obama administration over failure to save photojournalist before he was beheaded by ISIS,105,discuss
"Four new NHL expansion teams? Vegas, Seattle, Toronto and Quebec by 2017: Report",106,unrelated
Tesla settles on Nevada for 'gigafactory' site -CNBC,107,unrelated
Apple Reportedly Planning to Shut Down Beats Music,108,unrelated
Joan Rivers' Doctor Took a Selfie While She Was Under Anesthesia (Report),109,discuss
CNN: Doctor Took Mid-Surgery Selfie with Unconscious Joan Rivers,110,discuss
U.S.: Video showing Sotloff beheading is authentic,111,discuss
China Penis Amputation: Cruel Aunt Viciously Mutilates Toddler's Genitals as Punishment,112,unrelated
Sources: Missing Afghan Soldiers May Have Been Found Near Canadian Border,113,discuss
Jilted wife chops off two-timing hubby’s manhood — twice,114,unrelated
URGENT: ISIS beheads Kurdish female fighter “Rehana”,115,unrelated
The Greater Gaza Plan: Is Israel trying to force Palestinians into Sinai?,116,unrelated
"IBM Corp expected to cut more than 110,000 jobs in massive overhaul, report says",117,agree
Analyst: Apple Watch Edition to Cost $950,118,discuss
Missing Afghan Soldiers Apprehended Trying To Cross Border Into Canada,119,unrelated
Hewlett-Packard plans to split into two companies: Report,120,discuss
Giant Crab,121,unrelated
Woman Gets Third Boob to Appear Unattractive to Men,122,unrelated
"ISIS Might Be Harvesting Organs To Finance Operations, Iraqi Envoy Tells UN",123,unrelated
Foley family says was 'threatened' by U.S. official over ransom: ABC,124,unrelated
Argentina's President Cristina Kirchner Adopts Jewish Godson To Prevent Him Turning Into A Werewolf,125,unrelated
"iPhone 6s Rumor Suggests Dual Lens Optical Zoom Camera, Pressure Sensors Inbound",126,discuss
Woman Gets Third Boob to Appear Unattractive to Men,127,unrelated
Mittens The Intersex Cat To Get Gender Assignment,128,unrelated
"Jealous Wife Who Chopped Off Husband’s Penis For Cheating On Her, Chops It Off A Second Time",129,unrelated
Apple Watch shipments to start in March: 12in new MacBook Air expected to be launched in same quarter,130,unrelated
"iPhone 6s Rumor Suggests Dual Lens Optical Zoom Camera, Pressure Sensors Inbound",131,unrelated
WH won’t say if Foley family was threatened not to pay ransom,132,unrelated
Report: Apple Plans to Phase Out Beats Music Brand,133,discuss
Passenger tossed after flipping out over staff’s ‘Merry Christmas’,134,agree
"The Groom Was Sick, So The Bride Married A Guest At Her Wedding In A Fit Of Rage",135,unrelated
US Ally Saudi Arabia Starts Gender Segregation On National Airline,136,discuss
"Brain Surgery Recovery: Teenage Girl Wakes Up During Procedure, Talks About Cats",137,unrelated
"A Peruvian TV show is tricking men into catcalling their mothers, for feminism",138,agree
Justin Bieber Helps Defend Russian Fisherman From Bear,139,unrelated
Report: Apple Plans to Phase Out Beats Music Brand,140,unrelated
"Joan Rivers Death Preventable? Melissa Rivers Taking Legal Action, News Of Doctor’s Selfie Surfaces",141,unrelated
ISIS Advances to Within 10 Miles of Baghdad,142,unrelated
"Woman pays $20,000 for third breast to make herself LESS attractive to men",143,discuss
"Transgender teenager, 17, leaves heartbreaking suicide note blaming her Christian parents before walking in front of tractor trailer on highway",144,unrelated
REPORT: 'JIHADI JOHN' WHO BEHEADED JAMES FOLEY WOUNDED IN US AIRSTRIKE,145,unrelated
Woman Reportedly Pours Acid on Boyfriend's Penis After Finding His Sex Tape,146,unrelated
'Whistling At Your Mom': Video Showing Sons Catcalling their Mothers Goes Viral [VIDEO],147,agree
A bunch of cool health features were cut from the Apple Watch at the last minute,148,discuss
Joan Rivers' Doctor 'Took a Selfie' During Procedure: CNN,149,unrelated
'Throat specialist to the stars' allegedly involved in fatal Joan Rivers procedure denies taking selfie with star as she releases statement saying she will not comment on tragic incident,150,unrelated
BOOK: CHARLES MANSON’S FIANCÉ WANTED MARRIAGE SO SHE COULD DISPLAY HIS CORPSE IN TOURIST ATTRACTION,151,unrelated
Claims famous Kurdish Peshmerga fighter Rehana may have been decapitated,152,unrelated
ISIS Reported to Behead Second American,153,unrelated
"After Beheading of Steven Sotloff, Obama Pledges to Punish ISIS",154,discuss
School pupil writes moving letter to her teacher after he comes out as gay,155,disagree
Joan Rivers' Doctor Reportedly Took a Selfie Before Her Cardiac Arrest,156,discuss
Florida woman gets plastic surgery to add a third breast,157,unrelated
Report: Woman who claimed to have third breast added is fake,158,unrelated
Joan Rivers' Doctor 'Took a Selfie' During Procedure: CNN,159,discuss
"Texas boy, 9, suspended for threatening to use ‘Hobbit’ magic, dad says",160,unrelated
"No, Argentina's president did not adopt a Jewish child to stop him turning into a werewolf",161,unrelated
Here's What We Know About ISIS's Alleged Organ Harvesting Operation,162,discuss
iPhone 6s Rumored to Include 2GB of Faster RAM and 'Force Touch' Technology,163,unrelated
Isis 'behead their own fighters' for spying and embezzlement in Syria,164,unrelated
IS reportedly tries to sell slain US hostage’s body for $1 million  Read more: IS reportedly tries to sell slain US hostage's body for $1 million,165,discuss
WH won’t say if Foley family was threatened not to pay ransom,166,unrelated
"Report: Joan Rivers doctor took selfie, began biopsy, source says",167,unrelated
Jihadist Brit teen killed in US air strikes,168,unrelated
Missing Afghan soldiers taken into custody at Canadian border,169,unrelated
Police Chief In Charge of Paris Attacks Commits Suicide,170,unrelated
NHL denies Las Vegas expansion report,171,unrelated
iPhone 6s Rumored to Include 2GB of Faster RAM and 'Force Touch' Technology,172,unrelated
"Source: Joan Rivers' doc did biopsy, selfie",173,unrelated
Woman Gets Third Boob to Appear Unattractive to Men,174,unrelated
Woman has surgery to get third breast: The three most statistically unlikely pairs of boobs,175,discuss
Woman with three breasts ‘was a fake who has tricked people online before’,176,unrelated
"Reports: NHL expansion could include Las Vegas, others",177,unrelated
"Argentina President, Christina Kirchner, Has Bizarre Werewolf Mishap",178,unrelated
"Fake or freak? Woman, 21, claims to have paid $20,000 to surgically add third breast in desperate bid to become a reality TV star",179,discuss
Apple iPhone Mini with 4-inch Display Set to Replace iPhone 5c: Rumor,180,unrelated
"iPhone 6s Rumor Suggests Dual Lens Optical Zoom Camera, Pressure Sensors Inbound",181,unrelated
CNN: Doctor Took Mid-Surgery Selfie with Unconscious Joan Rivers,182,unrelated
"Oil spikes on U.S. inventory data, Saudi explosion rumor",183,unrelated
Islamic State releases video showing beheading of US hostage Steven Sotloff,184,unrelated
"No, Argentina's president did not adopt a Jewish child to stop him turning into a werewolf",185,unrelated
Adopting Potential Werewolves Is Routine Business for Argentine Presidents,186,unrelated
Report: Woman who claimed to have third breast added is fake,187,unrelated
Three-breasted woman outed as fake by Tampa police,188,discuss
Reports: Missing Afghan soldiers found at Canadian border,189,unrelated
Joan Rivers' Doctor Reportedly Took a Selfie Before Her Cardiac Arrest,190,discuss
President Sisi's Gift,191,discuss
iPhone 6s Rumored to Include 2GB of Faster RAM and 'Force Touch' Technology,192,discuss
Breast Chancer,193,agree
United Nations asked to investigate claims of organ harvesting by ISIS,194,unrelated
"Surgery Patient Wakes Up, Asks Doc 'How's It Going?'",195,agree
"Joan Rivers: Doctor Took Selfie With Unconscious Comedian, Performed Biopsy Without Consent -- Details",196,discuss
Hewlett-Packard to split into two public companies,197,unrelated
ISIS executioner 'Jihadi John' allegedly wounded by U.S.-led air strike: report,198,unrelated
Joan Rivers' Doctor 'Took a Selfie' During Procedure: CNN,199,unrelated
Saudi Arabian airline to separate genders after men complain about blokes sitting next to their wives,200,unrelated
